filename,width,height,class,xmin,ymin,xmax,ymax
apple--229-_jpg.rf.e37f3edcc4d931329dd15c04d8ba6d64.jpg,192,192,apple,31,31,119,171
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,92,117,155,191
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,72,84,117,125
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,32,55,77,110
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,138,36,187,94
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,22,114,57,158
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,47,136,89,187
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,50,6,98,55
damaged_apple--91-_jpg.rf.e38bfe9852904e95baa3d2f981f9768e.jpg,192,192,apple,96,42,136,91
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,58,50,101,76
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,101,55,144,81
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,69,76,124,108
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,124,85,176,119
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,87,109,136,143
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,20,66,63,100
apple--230-_jpg.rf.e3c124f8964bae6da5f582e2586c232c.jpg,192,192,apple,30,101,82,134
damaged_apple--180-_jpg.rf.e468b7d9c29b3d220158f53798f86ece.jpg,192,192,apple,16,23,177,173
damaged_apple--129-_jpg.rf.e55be93bb5c7e48bb5ea9cf70b373ce4.jpg,192,192,apple,17,32,116,158
damaged_apple--58-_jpg.rf.e59e9acac0c0bf5e6b2e97f83c37b7cb.jpg,192,192,apple,2,93,68,186
damaged_apple--58-_jpg.rf.e59e9acac0c0bf5e6b2e97f83c37b7cb.jpg,192,192,apple,2,3,53,85
damaged_apple--58-_jpg.rf.e59e9acac0c0bf5e6b2e97f83c37b7cb.jpg,192,192,apple,150,16,192,118
damaged_apple--58-_jpg.rf.e59e9acac0c0bf5e6b2e97f83c37b7cb.jpg,192,192,apple,71,73,178,189
damaged_apple--248-_jpg.rf.e500d1ada77aaf72603ea1cf768c4bb2.jpg,192,192,apple,9,19,93,172
damaged_apple--248-_jpg.rf.e500d1ada77aaf72603ea1cf768c4bb2.jpg,192,192,apple,96,19,185,177
damaged_apple--36-_jpg.rf.e818a34de6b84a7df5294a2360bf1e6d.jpg,192,192,apple,6,21,94,178
damaged_apple--36-_jpg.rf.e818a34de6b84a7df5294a2360bf1e6d.jpg,192,192,apple,103,29,183,178
damaged_apple--13-_jpg.rf.e4c3a841da1555058798ba487b040256.jpg,192,192,apple,24,28,136,148
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,13,65,53,112
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,22,106,62,146
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,54,121,95,168
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,93,138,133,175
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,136,145,164,174
apple--159-_jpg.rf.e8455de8f639d6dcdfdf38bb5c850276.jpg,192,192,apple,126,49,163,83
apple--271-_jpg.rf.e936ea21a335f04b6d9300675a917669.jpg,192,192,apple,54,71,104,120
apple--271-_jpg.rf.e936ea21a335f04b6d9300675a917669.jpg,192,192,apple,107,43,175,120
apple--271-_jpg.rf.e936ea21a335f04b6d9300675a917669.jpg,192,192,apple,76,20,134,78
damaged_apple--239-_jpg.rf.e65530bfa9979f28ffb4b602b8e8b93a.jpg,192,192,apple,72,91,128,182
damaged_apple--239-_jpg.rf.e65530bfa9979f28ffb4b602b8e8b93a.jpg,192,192,apple,107,49,159,132
damaged_apple--239-_jpg.rf.e65530bfa9979f28ffb4b602b8e8b93a.jpg,192,192,apple,69,3,119,86
damaged_apple--239-_jpg.rf.e65530bfa9979f28ffb4b602b8e8b93a.jpg,192,192,apple,28,42,79,127
damaged_apple--169-_jpg.rf.ea08d0499eab6a0797403f1158fd5cb1.jpg,192,192,apple,32,26,168,167
damaged_apple--153-_jpg.rf.ebdddaa8a5f9b766229362659caf5f12.jpg,192,192,apple,9,28,58,104
damaged_apple--153-_jpg.rf.ebdddaa8a5f9b766229362659caf5f12.jpg,192,192,apple,55,76,103,154
damaged_apple--153-_jpg.rf.ebdddaa8a5f9b766229362659caf5f12.jpg,192,192,apple,93,59,145,153
damaged_apple--63-_jpg.rf.ecca5f7f8283df5d2a1cd618f635ac75.jpg,192,192,apple,31,31,155,134
damaged_apple--81-_jpg.rf.e9f0cdb79914791300352498bbba7525.jpg,192,192,apple,44,64,100,140
apple--293-_jpg.rf.eb63448975ababa0aa5eaefa82576a19.jpg,192,192,apple,52,46,155,181
apple--212-_jpg.rf.e9455e8f620044d710555e300dda8dd6.jpg,192,192,apple,53,63,92,118
apple--212-_jpg.rf.e9455e8f620044d710555e300dda8dd6.jpg,192,192,apple,97,81,145,147
apple--212-_jpg.rf.e9455e8f620044d710555e300dda8dd6.jpg,192,192,apple,90,55,132,102
apple--212-_jpg.rf.e9455e8f620044d710555e300dda8dd6.jpg,192,192,apple,52,34,90,74
apple--212-_jpg.rf.e9455e8f620044d710555e300dda8dd6.jpg,192,192,apple,92,21,131,63
apple--59-_jpg.rf.eb8c82b35a2550631cc7a95cd8a13de9.jpg,192,192,apple,38,115,61,130
